epoch,train_loss,train_acc,test_loss,test_acc
1,0.2737855677862962,0.9189333333333334,0.12947960442900658,0.9612
2,0.11643011591831844,0.9641333333333333,0.1128583906173706,0.9642
3,0.07932729002783696,0.9753166666666667,0.0845041299493052,0.9737
4,0.06189219672344625,0.98,0.07986352861430496,0.9768
5,0.04991067321412265,0.9835833333333334,0.08325533034997061,0.9731
6,0.03956364787605902,0.9873833333333333,0.08057351807970553,0.9771
7,0.03436510331354414,0.9887833333333333,0.08918491556076333,0.9729
8,0.02869281962327659,0.9907833333333333,0.08490208182764472,0.9783
9,0.02476524671027437,0.9919166666666667,0.1079838441168773,0.97
10,0.023526451124701028,0.9919333333333333,0.10480397049585591,0.9755
