epoch,train_loss,train_acc,test_loss,test_acc
1,0.3053507464925448,0.9087333333333333,0.16519722142219542,0.9485
2,0.11335443443457285,0.9656666666666667,0.09469266030788422,0.9703
3,0.0769591901148359,0.9765,0.0849306762970984,0.9727
4,0.058029947193960346,0.9821,0.06562499102894216,0.98
5,0.044118831143031514,0.9861,0.0772317275471054,0.9773
6,0.033595071335012716,0.9896333333333334,0.06956004982443992,0.9801
7,0.02722588748646279,0.9916666666666667,0.06860673148521455,0.98
8,0.019525391409204652,0.9942166666666666,0.07368194256374845,0.98
9,0.016071583082557968,0.9951333333333333,0.06396788471164182,0.982
10,0.012823960345005617,0.9959666666666667,0.0798516140656866,0.978
